,treatment,group_id,recID,IN/OUT(1/-1),time,date,binary_success,overall_success
0,cccc,13,8,4.0,134145,20220810,1,0
1,cccc,13,18,0.0,122147,20220817,1,0
2,cccc,17,9,0.0,141946,20220810,1,0
3,cccc,17,17,4.0,114613,20220817,1,0
4,cccc,19,11,0.0,105634,20220812,1,0
5,cccc,19,23,2.0,115510,20220819,1,0
6,cccc,25,29,-1.0,140258,20220831,1,0
7,cccc,25,38,0.0,105147,20220905,1,0
8,cccc,29,31,0.0,153142,20220831,1,0
9,cccc,29,49,0.0,182807,20220906,1,0
10,ccdd,8,4,0.0,111130,20220805,0,0
11,ccdd,8,40,0.0,121610,20220905,1,0
12,ccdd,14,7,0.0,120421,20220810,1,0
13,ccdd,14,20,0.0,144006,20220817,1,0
14,ccdd,20,12,0.0,131633,20220812,1,0
15,ccdd,20,22,3.0,111445,20220819,1,0
16,ccdd,26,26,0.0,115937,20220831,1,0
17,ccdd,26,43,3.0,144141,20220905,1,0
18,ccdd,35,36,0.0,145327,20220902,0,0
19,ccdd,35,47,0.0,160602,20220906,1,0
20,dddd,15,6,4.0,112732,20220810,1,0
21,dddd,15,19,5.0,133933,20220817,1,0
22,dddd,18,10,0.0,150309,20220810,1,0
23,dddd,18,16,0.0,103703,20220817,1,0
24,dddd,21,14,0.0,140359,20220812,1,0
25,dddd,21,25,0.0,141116,20220819,1,0
26,dddd,27,28,0.0,132153,20220831,1,0
27,dddd,27,46,0.0,153018,20220906,1,0
28,dddd,30,30,0.0,145402,20220831,1,0
29,dddd,30,45,0.0,145303,20220906,1,0
30,dddd,33,34,0.0,132520,20220902,1,0
31,dddd,33,42,0.0,140555,20220905,1,0
32,dddd,36,44,0.0,141439,20220906,1,0
33,nnnn,22,15,0.0,150842,20220812,1,0
34,nnnn,22,21,4.0,103732,20220819,1,0
35,nnnn,24,13,4.0,135431,20220812,1,0
36,nnnn,24,24,3.0,133346,20220819,1,0
37,nnnn,28,27,0.0,123757,20220831,1,0
38,nnnn,28,39,0.0,113535,20220905,1,0
39,nnnn,34,35,0.0,141119,20220902,1,0
40,nnnn,34,48,0.0,172843,20220906,1,0
41,nnnn,36,37,0.0,153840,20220902,1,0
